Time (seconds),temp
87601.59,24
88201.59,24
88801.59,24
89401.59,24
90001.59,25
90601.59,25
91201.59,24
91801.59,25
92401.59,25
93001.59,24
93601.59,25
94201.59,25
94801.59,25
95401.59,25
96001.59,25
96601.59,24
97201.59,24
97801.59,24
98401.59,24
99001.59,24
99601.59,24
100201.59,24
100801.59,24
101401.59,24
102001.59,24
102601.59,24
103201.59,24
103801.59,24
104401.59,24
105001.59,24
105601.59,24
106201.59,24
106801.59,24
107401.59,24
108001.59,24
108601.59,24
109201.59,24
109801.59,24
110401.59,24
111001.59,24
111601.59,24
112201.59,24
112801.59,24
113401.59,24
114001.59,24
114601.59,24
115201.59,24
115801.59,24
116401.59,24
117001.59,24
117601.59,24
118201.59,24
118801.59,24
119401.59,24
120001.59,24
120601.59,24
121201.59,24
121801.59,24
122401.59,24
123001.59,24
123601.59,24
124201.59,24
124801.59,24
125401.59,24
126001.59,24
126601.59,24
127201.59,24
127801.59,24
128401.59,24
129001.59,24
129601.59,24
130201.59,24
130801.59,24
131401.59,24
132001.59,24
132601.59,24
133201.59,24
133801.59,24
134401.59,24
135001.59,24
135601.59,24
136201.59,24
136801.59,24
137401.59,24
138001.59,24
138601.59,25
139201.59,25
139801.59,25
140401.59,25
141001.59,25
141601.59,25
142201.59,25
142801.59,25
143401.59,25
144001.59,25
144601.59,25
145201.59,25
145801.59,25
146401.59,25
147001.59,25
147601.59,25
148201.59,25
148801.59,25
149401.59,25
150001.59,25
150601.59,25
151201.59,25
151801.59,25
152401.59,25
153001.59,25
153601.59,25
154201.59,25
154801.59,25
155401.59,25
156001.59,25
156601.59,25
157201.59,24
157801.59,24
158401.59,24
159001.59,24
159601.59,24
160201.59,24
160801.59,24
161401.59,24
162001.59,24
162601.59,25
163201.59,25
163801.59,25
164401.59,25
165001.59,25
165601.59,24
166201.59,25
166801.59,25
167401.59,24
168001.59,24
168601.59,24
169201.59,25
169801.59,24
170401.59,24
171001.59,24
171601.59,24
172201.59,24
172801.59,24
173401.59,24
