Time (seconds),temp
601.59,23
1201.59,23
1801.59,23
2401.59,23
3001.59,23
3601.59,23
4201.59,23
4801.59,23
5401.59,23
6001.59,22
6601.59,22
7201.59,22
7801.59,22
8401.59,22
9001.59,22
9601.59,22
10201.59,22
10801.59,22
11401.59,22
12001.59,22
12601.59,22
13201.59,22
13801.59,22
14401.59,22
15001.59,22
15601.59,22
16201.59,22
16801.59,22
17401.59,22
18001.59,22
18601.59,22
19201.59,22
19801.59,22
20401.59,22
21001.59,22
21601.59,22
22201.59,22
22801.59,22
23401.59,22
24001.59,22
24601.59,22
25201.59,22
25801.59,22
26401.59,22
27001.59,22
27601.59,22
28201.59,22
28801.59,22
29401.59,22
30001.59,22
30601.59,22
31201.59,22
31801.59,22
32401.59,22
33001.59,22
33601.59,22
34201.59,22
34801.59,22
35401.59,22
36001.59,22
36601.59,22
37201.59,22
37801.59,22
38401.59,22
39001.59,22
39601.59,22
40201.59,22
40801.59,22
41401.59,22
42001.59,22
42601.59,22
43201.59,22
43801.59,22
44401.59,22
45001.59,22
45601.59,22
46201.59,22
46801.59,22
47401.59,22
48001.59,22
48601.59,22
49201.59,22
49801.59,22
50401.59,22
51001.59,23
51601.59,23
52201.59,23
52801.59,23
53401.59,23
54001.59,23
54601.59,23
55201.59,24
55801.59,24
56401.59,24
57001.59,24
57601.59,24
58201.59,24
58801.59,23
59401.59,23
60001.59,23
60601.59,24
61201.59,23
61801.59,23
62401.59,23
63001.59,24
63601.59,24
64201.59,24
64801.59,24
65401.59,24
66001.59,24
66601.59,24
67201.59,24
67801.59,24
68401.59,24
69001.59,24
69601.59,24
70201.59,24
70801.59,24
71401.59,24
72001.59,24
72601.59,24
73201.59,24
73801.59,24
74401.59,24
75001.59,24
75601.59,24
76201.59,24
76801.59,23
77401.59,24
78001.59,24
78601.59,24
79201.59,24
79801.59,24
80401.59,24
81001.59,24
81601.59,24
82201.59,24
82801.59,24
83401.59,24
84001.59,24
84601.59,24
85201.59,24
85801.59,24
86401.59,24
87001.59,24
87601.59,24
88201.59,24
88801.59,24
89401.59,24
90001.59,25
90601.59,25
91201.59,24
91801.59,25
92401.59,25
93001.59,24
93601.59,25
94201.59,25
94801.59,25
95401.59,25
96001.59,25
96601.59,24
97201.59,24
97801.59,24
98401.59,24
99001.59,24
99601.59,24
100201.59,24
100801.59,24
101401.59,24
102001.59,24
102601.59,24
103201.59,24
103801.59,24
104401.59,24
105001.59,24
105601.59,24
106201.59,24
106801.59,24
107401.59,24
108001.59,24
108601.59,24
109201.59,24
109801.59,24
110401.59,24
111001.59,24
111601.59,24
112201.59,24
112801.59,24
113401.59,24
114001.59,24
114601.59,24
115201.59,24
115801.59,24
116401.59,24
117001.59,24
117601.59,24
118201.59,24
118801.59,24
119401.59,24
120001.59,24
120601.59,24
121201.59,24
121801.59,24
122401.59,24
123001.59,24
123601.59,24
124201.59,24
124801.59,24
125401.59,24
126001.59,24
126601.59,24
127201.59,24
127801.59,24
128401.59,24
129001.59,24
129601.59,24
130201.59,24
130801.59,24
131401.59,24
132001.59,24
132601.59,24
133201.59,24
133801.59,24
134401.59,24
135001.59,24
135601.59,24
136201.59,24
136801.59,24
137401.59,24
138001.59,24
138601.59,25
139201.59,25
139801.59,25
140401.59,25
141001.59,25
141601.59,25
142201.59,25
142801.59,25
143401.59,25
144001.59,25
144601.59,25
145201.59,25
145801.59,25
146401.59,25
147001.59,25
147601.59,25
148201.59,25
148801.59,25
149401.59,25
150001.59,25
150601.59,25
151201.59,25
151801.59,25
152401.59,25
153001.59,25
153601.59,25
154201.59,25
154801.59,25
155401.59,25
156001.59,25
156601.59,25
157201.59,24
157801.59,24
158401.59,24
159001.59,24
159601.59,24
160201.59,24
160801.59,24
161401.59,24
162001.59,24
162601.59,25
163201.59,25
163801.59,25
164401.59,25
165001.59,25
165601.59,24
166201.59,25
166801.59,25
167401.59,24
168001.59,24
168601.59,24
169201.59,25
169801.59,24
170401.59,24
171001.59,24
171601.59,24
172201.59,24
172801.59,24
173401.59,24
